Algorithm,Log Source,Log,Min Adaptive Window,Max Adaptive Window,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,P-Value,MRID,Epsilon,Window Size,SW Step Size
Martjushev ADWIN WC,Ostovar,Atomic_SerialRemoval_output_SerialRemoval,300.0,500.0,[],"[999, 1999]",,,00:03:54,0.4,,,,
Martjushev ADWIN J,Ostovar,Atomic_ParallelMove_output_ParallelMove,100.0,700.0,[],"[999, 1999]",,,00:10:04,0.4,,,,
Martjushev ADWIN WC,Ostovar,Atomic_ParallelMove_output_ParallelMove,100.0,700.0,[],"[999, 1999]",,,00:05:18,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise15_1000_ROI,200.0,700.0,[519],[499],1.0,20.0,00:00:00,,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_ROI,100.0,400.0,[473],[499],1.0,26.0,00:00:01,,,,,
Martjushev ADWIN J,Ostovar,Nested_IOR_output_IOR_5,400.0,600.0,"[899, 1920]","[999, 1999]",1.0,89.5,00:11:37,0.4,,,,
Martjushev ADWIN WC,Ostovar,Nested_IOR_output_IOR_5,400.0,600.0,[],"[999, 1999]",,,00:08:22,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise10_1000_cf,200.0,600.0,[605],[499],1.0,106.0,00:00:06,,,,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise15_1000_OIR,100.0,600.0,[449],[499],1.0,50.0,00:00:09,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise15_1000_OIR,100.0,600.0,[],[499],,,00:00:05,0.4,,,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,[],[499],,,00:00:00,,700.0,70.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,[],[499],,,00:00:00,,700.0,140.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,[],[499],,,00:00:00,,700.0,210.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,[],[499],,,00:00:00,,700.0,280.0,,
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,[],[499],,,00:00:00,,700.0,350.0,,
Martjushev ADWIN J,Ceravolo,sudden_trace_noise0_1000_lp,100.0,400.0,[339],[499],1.0,160.0,00:00:10,0.4,,,,
Martjushev ADWIN WC,Ceravolo,sudden_trace_noise0_1000_lp,100.0,400.0,[],[499],,,00:00:06,0.4,,,,
Process Graph Metrics,Ceravolo,sudden_trace_noise5_1000_RIO,100.0,700.0,[648],[499],1.0,149.0,00:00:01,,,,,
